Funciones                        | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47
1 abro_ar                        |   |   |   | X |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
2 archivo_analizador             |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
3 armar_csv_comentarios          |   |   |   | X |   |   |   | 1 |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |    |    |    |    |    |    |    |    |    |    |   
4 armar_csv_funciones            | 2 |   | 3 |   |   |   | 2 |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |  2 |    |    |    |    |    |    |    |   
5 armar_diccionarios             |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  2 |    |  X |    |    |    |    |    |    |    |    |    |    |   
6 armar_tabla                    |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  1 |    |    |  1 |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |  1 |  1 |    |    |   
7 armo_csv                       |   |   |   | X |   |   |   |   |   |    |    |    |    |  2 |    |    |    |    |    |    |  7 |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
8 autor_ayuda                    |   |   | X |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
9 borrar_primer_indice           |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
10 borrar_un_valor_lista         |   |   |   |   |   |   |   |   |   |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |  X |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |   
